bank,ifsc,branch,centre,district,state,address,contact,city,micr
Abhyudaya Co-operative Bank,ABHY0065111,DECCAN GYMKHANA,PUNE,PUNE,MAHARASHTRA,"AMIT SAMRUDDHI, OFF. J.M.ROAD, SHIVAJI NAGAR, PUNE-411004",+912025513670,PUNE,411065015
Abhyudaya Co-operative Bank,ABHY0065112,NAGPUR,NAGPUR,NAGPUR,MAHARASHTRA,"BHAGVAN HOUSE, GROUND FLOOR, WARDHA ROAD, WARDHA ROAD, NAGPUR WARDHA ROAD, NAGPUR",+917122244715,NAGPUR,440211251
Abhyudaya Co-operative Bank,ABHY0065113,AURANGABAD,AURANGABAD,AURANGABAD,MAHARASHTRA,"AMDANI CHAMBERS, GROUND FLOOR, NEW GULMANDI ROAD, DALAL WADI, AURANGABAD- 431 001.",+912402346043,AURANGABAD,431065003
Abhyudaya Co-operative Bank,ABHY0065114,KANKAVLI,KANKAVLI,KANKAVLI,MAHARASHTRA,"3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602",+912367231160,SINDHUDURG,416065501
Abhyudaya Co-operative Bank,ABHY0065115,NASHIK,NASHIK,NASHIK,MAHARASHTRA,"OFFICE NO.4,5 & 6 LUCKY PALACE APARTMENTS, CANARA CORNER, SHARANPUR TRIMBAK ROAD, NASHIK 422 005",+912532232031,NASIK,422065002
Abhyudaya Co-operative Bank,ABHY0065116,CHAKAN BRANCH,CHAKAN,CHAKAN,MAHARASHTRA,"ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501",+912135252001,PUNE,411065016
Abhyudaya Co-operative Bank,ABHY0065117,AMBAD,NASHIK,NASHIK,MAHARASHTRA,"SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008",+912532399714,NASIK,422065003
Abhyudaya Co-operative Bank,ABHY0065118,NASHIK ROAD,NASHIK,NASHIK,MAHARASHTRA,"RAJAN COMPLEX, DATTA MANDIR STOP, NASHIK-PUNE HIGHWAY, NASHIK 422 101",+912532459921,NASIK,422065004
Abhyudaya Co-operative Bank,ABHY0065119,GARKHEDA,AURANGABAD,AURANGABAD,MAHARASHTRA,"SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005",+912402405659,AURANGABAD,431065004
Abhyudaya Co-operative Bank,ABHY0065120,ASHOK NAGAR,NANDED,NANDED,MAHARASHTRA,"GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605",+912462254030,NANDED,431065102
Abhyudaya Co-operative Bank,ABHY0065121,C.A. ROAD,NAGPUR,NAGPUR,MAHARASHTRA,"GANDHI GRAIN MARKET, OLD BAGADGANJ LAYOUT, CHAPRU CHOWK, CENTRAL AVENUE ROAD, NAGPUR - 440 008.",+917122739918,NAGPUR,440211252
Abhyudaya Co-operative Bank,ABHY0065122,DABHADE TALEGAON,TALEGAONDABHADE,TALEGAONDABHADE,MAHARASHTRA,"AMBIKA CORNER APARTMENT, PLOT NO. 6 & 7, LAXMIBAUG COLONY, TALEGAON DABHADE TAL. MAWAL, DIST. PUNE - 410506",+912114224460,PUNE,411065017
